Altium Designer Pick and Place Locations
C:\Users\pelop\Desktop\Neckog\Project Outputs for Printing\Pick Place for Printing2.csv

========================================================================================================================
File Design Information:

Date:       07.06.23
Time:       23:30
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation"
"C12","ESDSafeCapacitor","TopLayer","C_0805_GEN_1.40H","165.1882","58.9534","270"
"C11","ESDSafeCapacitor","TopLayer","C_0805_GEN_1.40H","162.3822","58.9534","270"
"C10","ESDSafeCapacitor","TopLayer","C_0805_GEN_1.40H","164.0392","66.7004","90"
"C9","Capacitor","TopLayer","C_0805_GEN_1.10H","113.2015","71.2597","270"
"C8","Capacitor","TopLayer","C_0805_GEN_1.10H","98.9845","71.2597","270"
"C7","ESDSafeCapacitor","TopLayer","C_0805_GEN_1.40H","80.0545","69.6087","90"
"C6","ESDSafeCapacitor","TopLayer","C_0805_GEN_1.40H","118.2415","93.8657","0"
"C5","ESDSafeCapacitor","TopLayer","C_0805_GEN_1.40H","107.1055","75.1967","180"
"C4","ESDSafeCapacitor","TopLayer","C_0805_GEN_1.40H","91.3575","80.5307","90"
"C3","ESDSafeCapacitor","TopLayer","C_0805_GEN_1.40H","100.2475","75.1967","180"
"C78","ESDSafeCapacitor","TopLayer","C_0805_GEN_1.40H","72.5988","41.2368","0"
"C2","ESDSafeCapacitor","TopLayer","C_0805_GEN_1.40H","115.1890","81.6610","270"
"C1","ESDSafeCapacitor","TopLayer","C_0805_GEN_1.40H","95.1675","99.5807","90"
